Sequence,ExpectedTotal_ms,Network_ms,JitterSize_pkts,Jitter_ms,Total_ms
757,13,0.165,0,0,12.165
758,13,0.118,0,0,12.118
759,13,0.084,0,0,12.084
760,13,0.123,0,0,12.123
761,13,0.169,0,0,12.169
762,13,0.073,1,4,16.073
763,13,0.115,0,0,12.115
764,13,0.189,0,0,12.189
765,13,0.153,0,0,12.153
766,13,0.075,1,4,16.075
767,13,0.102,0,0,12.102
768,13,0.143,0,0,12.143
769,13,0.213,0,0,12.213
770,13,0.177,0,0,12.177
771,13,0.187,0,0,12.187
772,13,0.129,0,0,12.129
773,13,0.133,0,0,12.133
774,13,0.059,1,4,16.059
775,13,0.153,0,0,12.153
776,13,0.138,0,0,12.138
777,13,0.171,0,0,12.171
778,13,0.135,0,0,12.135
779,13,0.154,0,0,12.154
780,13,0.117,0,0,12.117
781,13,0.145,0,0,12.145
782,13,0.062,0,0,12.062
783,13,0.122,0,0,12.122
784,13,0.134,0,0,12.134
785,13,0.118,0,0,12.118
786,13,0.071,1,4,16.071
787,13,0.121,0,0,12.121
788,13,0.126,0,0,12.126
789,13,0.133,0,0,12.133
790,13,0.111,0,0,12.111
791,13,0.126,0,0,12.126
792,13,0.161,0,0,12.161
793,13,0.205,0,0,12.205
794,13,0.072,0,0,12.072
795,13,0.13,0,0,12.13
796,13,0.107,0,0,12.107
797,13,0.095,0,0,12.095
798,13,0.155,0,0,12.155
799,13,0.124,0,0,12.124
800,13,0.112,0,0,12.112
801,13,0.129,0,0,12.129
802,13,0.053,1,4,16.053
803,13,0.139,0,0,12.139
804,13,0.124,0,0,12.124
805,13,0.16,0,0,12.16
806,13,0.068,0,0,12.068
807,13,0.143,0,0,12.143
808,13,0.118,0,0,12.118
809,13,0.127,0,0,12.127
810,13,0.138,0,0,12.138
811,13,0.139,0,0,12.139
812,13,0.116,0,0,12.116
813,13,0.154,0,0,12.154
814,13,0.197,0,0,12.197
815,13,0.166,0,0,12.166
816,13,0.137,0,0,12.137
817,13,0.117,0,0,12.117
818,13,0.147,0,0,12.147
819,13,0.112,0,0,12.112
820,13,0.301,0,0,12.301
821,13,0.123,0,0,12.123
822,13,0.175,0,0,12.175
823,13,0.127,0,0,12.127
824,13,0.117,0,0,12.117
825,13,0.138,0,0,12.138
826,13,0.182,0,0,12.182
827,13,0.124,0,0,12.124
828,13,0.12,0,0,12.12
829,13,0.122,0,0,12.122
830,13,0.139,0,0,12.139
831,13,0.187,0,0,12.187
832,13,0.121,0,0,12.121
833,13,0.139,0,0,12.139
834,13,0.121,0,0,12.121
